이코복스커피스튜디오 서여의도점, 서울 영등포구 여의도동 13-25
그랜드인터컨티넨탈 서울파르나스 로비라운지&바, 서울 강남구 삼성동 159-8
도란도란솔마루카페, 서울 강북구 미아동 745-71
삼청동에그롤 파르나스몰점, 서울 강남구 삼성동 159-8
웰컴, 서울 동작구 상도동 199-25
일카페, 서울 성동구 용답동 229-10
낫띵뉴, 서울 마포구 상수동 310-8
효이당와플앤커피, 서울 강남구 역삼동 826-37
리워브, 서울 양천구 신정동 902-10
맥심플랜트, 서울 용산구 한남동 683-140
커피사피엔스 구로넷마블점, 서울 구로구 구로동 830
W데이트카페, 서울 강서구 화곡동 1117
칼라커피숍, 서울 은평구 대조동 220-10
세주, 서울 동작구 사당동 141-44
카페in중독, 서울 중랑구 신내동 614
유월커피, 서울 강남구 역삼동 668-16
이츠이츠, 서울 성북구 동소문동3가 33
에딕티 경희대점, 서울 동대문구 회기동 45-74
더그릭베어 홍대상수점, 서울 마포구 상수동 309-7
카페토레콩, 서울 광진구 광장동 250
퐁치커피익스프레스 신월점, 서울 양천구 신월동 510-1
헬로우어빵, 서울 양천구 목동 907
카페엘림, 서울 동대문구 답십리동 473-1
메가MGC커피 역삼테헤란로점, 서울 강남구 역삼동 735-17
공차 홈플러스가양점, 서울 강서구 가양동 18-24
메가MGC커피 장한평자동차거리점, 서울 성동구 용답동 233-6
템포커피 합정교보문고점, 서울 마포구 합정동 472
히엘로스터리카페, 서울 송파구 방이동 60-20
티스스낵바, 서울 마포구 동교동 147-2
공차 중계은행사거리점, 서울 노원구 중계동 360-9
바나프레소 낙성대역점, 서울 관악구 봉천동 1658-19
투썸플레이스 쌍문중앙점, 서울 도봉구 창동 659-4
메가MGC커피 역삼GFC점, 서울 강남구 역삼동 738-9
테일오브커피&스타일, 서울 마포구 서교동 338-52
넘버린, 서울 용산구 동자동 14-141
메가MGC커피 답십리1동점, 서울 동대문구 답십리동 1003
벌툰 몽유도원 노원상계점, 서울 노원구 상계동 594-2
와드커피 묵동점, 서울 중랑구 묵동 245-6
빵데까사 PAN DE CASA, 서울 송파구 송파동 17-17
폴바셋 강남구청역점, 서울 강남구 청담동 41-2
매머드익스프레스 신림대학점, 서울 관악구 신림동 1514-9
카페가든플라워, 서울 은평구 불광동 131-16
카페진락, 서울 서초구 방배동 511-49
밸런티 본점, 서울 송파구 석촌동 261-17
봉자라떼, 서울 관악구 신림동 241-43
라스베이글, 서울 노원구 공릉동 441-22
문정커피, 서울 송파구 문정동 651-3
베르체 도곡점, 서울 강남구 도곡동 423-10
더치앤빈 경희궁의아침점, 서울 종로구 내수동 73
마시모, 서울 송파구 송파동 111-31
수연산방, 서울 성북구 성북동 248
스타벅스 중앙대점, 서울 동작구 흑석동 205-5
커플랜트, 서울 마포구 연남동 245-47
포트캔커피 구의점, 서울 광진구 구의동 243-22
아크바 중림점, 서울 중구 중림동 147-8
프라이빗페이퍼, 서울 종로구 삼청동 55
빽다방 월계인덕대점, 서울 노원구 월계동 635-4
카페더플레인, 서울 마포구 서교동 334-23
스타벅스 강동암사DT점, 서울 강동구 암사동 441-12
커피온리 동대문점, 서울 중구 쌍림동 3-1
테힐림, 서울 강남구 신사동 567-29
카페자리, 서울 서대문구 대현동 60
카페라움 CAFE RAUM, 서울 서초구 반포동 115-5
커피기업 동여의도점, 서울 영등포구 여의도동 35
매머드익스프레스 개화산역점, 서울 강서구 방화동 498-4
알프카 대학로점, 서울 종로구 명륜2가 180-2
바른주스, 서울 성북구 안암동5가 100-14
페이토커피, 서울 서초구 서초동 1361-10
블루보틀 한남 카페, 서울 용산구 한남동 829
달다곰이 엔터식스 상봉점, 서울 중랑구 상봉동 500
빽다방 문정역점, 서울 송파구 문정동 643-1
꼬마빌리지, 서울 동대문구 휘경동 42-23
위켄드타운커피바, 서울 용산구 원효로1가 108-3
파보리튼, 서울 마포구 노고산동 56-41
월하점, 서울 은평구 응암동 126-5
영앤도터스, 서울 마포구 공덕동 475
카페플락, 서울 동대문구 용두동 233-21
아키바코믹스, 서울 마포구 서교동 343-11
벌크커피 상봉점, 서울 중랑구 상봉동 115-4
오월의하루, 서울 광진구 자양동 655-17
도트블랭킷 삼청한옥점, 서울 종로구 소격동 95
상록수다방, 서울 금천구 시흥동 999
커피나무 노원역점, 서울 노원구 상계동 603-2
바나타이거 송정역점, 서울 강서구 공항동 28-5
크림빌, 서울 동대문구 용두동 237-57
빙츄르 마곡점, 서울 강서구 마곡동 773-1
카페콩가, 서울 송파구 잠실동 186-7
달롱도르요거트아이스크림 경복궁점, 서울 종로구 체부동 40
커피829 교대본점, 서울 서초구 서초동 1574-6
모노라이트, 서울 동작구 노량진동 120-21
사주&타롯, 서울 종로구 관철동 7-14
공차 용산아스테리움점, 서울 용산구 한강로2가 419
카페공캠, 서울 마포구 서교동 468-3
E1209, 서울 강남구 논현동 84
미스터힐링 대학로점, 서울 종로구 동숭동 1-51
카페플러스, 서울 은평구 응암동 678-1
팬스페이스, 서울 마포구 노고산동 54-63
헬로 펠라스, 서울 동대문구 이문동 264-363
개판카페, 서울 관악구 봉천동 1701
수7080라이브, 서울 중랑구 면목동 353-2
커피식구 시청센터점, 서울 중구 순화동 66
달다롱, 서울 영등포구 당산동1가 185-24
커피디엔에이 서초, 서울 서초구 서초동 1497-13
제뉴어리퍼스트, 서울 노원구 상계동 1113-45
명가원 조계사점, 서울 종로구 수송동 16-1
투썸플레이스 월곡역 코업스타점, 서울 성북구 하월곡동 46-73
델핀커피바, 서울 마포구 합정동 368-27
다솜케이크디저트커피, 서울 강북구 미아동 300-2
펠루시드커피, 서울 서대문구 연희동 116-5
오로라케이크하우스, 서울 마포구 연남동 241-48
비타민, 서울 강남구 삼성동 153-13
오거트 아현점, 서울 마포구 아현동 347-31
더벤티 노원KT점, 서울 노원구 상계동 725-4
점핑파크 서초점, 서울 서초구 서초동 1684-1
카페메이드, 서울 종로구 종로5가 408
폴바셋 롯데마트양평점, 서울 영등포구 양평동3가 45
세브웰, 서울 금천구 가산동 327-29
단꿈, 서울 강서구 내발산동 665-17
찬스사주작명카페, 서울 종로구 관훈동 146-1
커피빈 고대안암병원신관점, 서울 성북구 안암동5가 126-1
청다방, 서울 은평구 불광동 601-3
정릉동커피, 서울 성북구 정릉동 372-30
파가니니, 서울 서대문구 대현동 56-51
메가MGC커피 중구중림점, 서울 중구 중림동 471
더 팬 굿모닝시티점, 서울 중구 을지로6가 18-21
카페맑음, 서울 용산구 원효로1가 112-4
파스쿠찌 센트로서울대점, 서울 관악구 신림동 산 56-1
카페zero, 서울 구로구 개봉동 349-19
또또 카페, 서울 강남구 역삼동 705-18
로스터리 쿠, 서울 광진구 구의동 243
투썸플레이스 동서울터미널점, 서울 광진구 구의동 546-1
카베, 서울 강북구 미아동 303-90
타짜도르 강남점, 서울 서초구 서초동 1309
블루포트 연세대과학관점, 서울 서대문구 신촌동 134
송정커피, 서울 성동구 송정동 73-971
더로스팅, 서울 동대문구 장안동 332-1
카페베네 아라마크 일진그룹본사점, 서울 마포구 도화동 50-1
스푼 혜화점, 서울 종로구 혜화동 166-4
타미하우스 도곡점, 서울 강남구 도곡동 467-6
매머드익스프레스 한남 순천향병원점, 서울 용산구 한남동 639-1
스테이 템포, 서울 동대문구 회기동 3-16
메이페브러리커피, 서울 강동구 성내동 469-4
커피인류 개포점, 서울 강남구 일원동 743
만랩커피 용산문배KCC점, 서울 용산구 문배동 11-10
마더스핑거, 서울 강남구 역삼동 825-24
빽다방 먹골역점, 서울 중랑구 묵동 174-4
휘카페 광운대점, 서울 노원구 월계동 496-17
보스케, 서울 강남구 역삼동 832-4
커피두, 서울 마포구 아현동 604-2
연울파티스리, 서울 강남구 논현동 268-3
모차르트, 서울 종로구 동숭동 1-135
스타벅스 길동역점, 서울 강동구 길동 378-3
오리엔탈휴, 서울 중구 회현동3가 10
LBH로스터리, 서울 서초구 반포동 739-11
스타벅스 대치한티점, 서울 강남구 대치동 922-1
카페달, 서울 은평구 역촌동 33-2
아이네임이즈, 서울 영등포구 양평동4가 199
스타벅스 홍대동교점, 서울 마포구 동교동 173-14
창포원북카페 비상, 서울 도봉구 도봉동 4-1
몽거, 서울 서초구 양재동 219-1
포텐스커피, 서울 동대문구 제기동 1123-2
소소나름, 서울 송파구 문정동 131-2
옵션스페셜티커피 상록회관점, 서울 강남구 역삼동 701
쁠로 청담, 서울 강남구 청담동 44-19
뜰, 서울 중랑구 신내동 270-3
코코버블티 건대입구점, 서울 광진구 자양동 8-22
수변테라스카페, 서울 서대문구 홍은동 429
공감7080라이브, 서울 도봉구 방학동 690-54
청소년카페 내안의고래, 서울 강북구 미아동 317-7
크레커, 서울 마포구 서교동 345-26
카페빈이공방, 서울 동대문구 전농동 687
크로플마을 방배점, 서울 서초구 방배동 451-33
투썸플레이스 옥수역점, 서울 성동구 옥수동 560
더쌍화, 서울 종로구 종로5가 265-18
