이코복스커피스튜디오 서여의도점, 서울 영등포구 여의도동 13-25
프로틴나우, 서울 송파구 거여동 290-1
맨홀커피, 서울 영등포구 당산동5가 43
커피에반하다 압구정사거리점, 서울 강남구 신사동 664-6
밤밤(BAMBAM), 서울 종로구 삼청동 106
1987루프탑, 서울 강동구 명일동 353-1
카페 오밀리우, 서울 영등포구 당산동4가 73-11
카페콩트, 서울 강남구 역삼동 684-7
미드데이썬, 서울 강동구 성내동 432-4
카페텅 망원점, 서울 마포구 망원동 394-21
슬로우토크프레시, 서울 광진구 구의동 614-6
카페포레스트, 서울 강북구 우이동 73-49
마리나파크카페, 서울 서초구 반포동 115-1
청자다방, 서울 은평구 응암동 103-1
지소현Roaster's커피, 서울 양천구 신정동 1021-9
뛰노리방방 먹골역점, 서울 중랑구 묵동 243-26
이디야커피 봉화산역점, 서울 중랑구 신내동 646
메가MGC커피 금천가산점, 서울 금천구 가산동 152-11
오: 레이O:LEI, 서울 용산구 청파동1가 49
카페노아, 서울 송파구 거여동 258
뉴앳던 성수, 서울 성동구 성수동1가 668-38
워터스트리트 혜화점, 서울 종로구 명륜1가 33-69
카페올리브, 서울 중구 신당동 217-109
낮도깨비밤도깨비, 서울 마포구 망원동 338-72
수수커피브루잉, 서울 종로구 권농동 185-13
에스팩토리, 서울 중구 태평로2가 52-2
카페제로, 서울 구로구 개봉동 349-19
콩이몽이카페, 서울 서초구 서초동 1605-1
워터베리 강남구청역점, 서울 강남구 논현동 253-11
옥수동스케치북, 서울 성동구 옥수동 365-22
한입디저트, 서울 노원구 상계동 624
스타벅스 천호로데오점, 서울 강동구 천호동 453-14
카페리즈, 서울 강남구 삼성동 31-16
메가MGC커피 가산리더스타워점, 서울 금천구 가산동 60-15
마로로, 서울 마포구 서교동 365-7
썬플라워베이크샵, 서울 강남구 일원동 628-6
237 플랫폼 카페, 서울 성북구 정릉동 405-3
어페어커피 장충점, 서울 중구 쌍림동 244-5
엔제리너스 잠실롯데월드몰B1점, 서울 송파구 잠실동 40-1
애드리안윤 광화문점, 서울 종로구 청진동 246
요거트월드 장안점, 서울 동대문구 장안동 370-8
유아마니아, 서울 마포구 서교동 407-21
번츠커피, 서울 구로구 구로동 413-10
하루떡, 서울 성북구 성북동 133-88
투썸플레이스 뱅뱅사거리점, 서울 서초구 서초동 1361-5
파티시에르에스, 서울 용산구 원효로3가 251-5
디카커피랩 합정, 서울 마포구 합정동 355-14
요거트아이스크림의정석 오류동역점, 서울 구로구 오류동 135-27
카페에일린, 서울 구로구 오류동 64-28
카페티라치수, 서울 서초구 서초동 1713-6
메가MGC커피 전농동아점, 서울 동대문구 전농동 645-2
오티알커피, 서울 동대문구 이문동 264-314
쏘스윗마카롱, 서울 송파구 송파동 130
커피101스트릿 블루나인점, 서울 강서구 염창동 240-21
뚜또에스프레소, 서울 중랑구 면목동 52-6
커피(coffee)&친구들, 서울 영등포구 대림동 706
스타벅스 당산점, 서울 영등포구 당산동6가 338-1
원앤하프, 서울 서초구 서초동 1321-6
파스텔커피웍스 서촌점, 서울 종로구 누하동 175-3
2도라운지, 서울 강남구 청담동 125-9
퍼즐팩토리 홍대본점, 서울 마포구 서교동 358-46
코나헤이븐, 서울 종로구 명륜1가 26-3
컴포즈커피 은평진관점, 서울 은평구 진관동 70
카페#606, 서울 동작구 신대방동 686-48
떠기다방 강남구청역점, 서울 강남구 논현동 119
스타벅스 광나루점, 서울 광진구 광장동 329-1
이디야커피 동묘역점, 서울 종로구 숭인동 284
해브커피, 서울 서대문구 합동 16-2
카페 후르티바, 서울 서초구 서초동 1706-3
빽다방 장안동사거리점, 서울 동대문구 장안동 308-1
메가MGC커피 노원로데오점, 서울 노원구 상계동 593-2
에프스토리시즌투 서교점, 서울 마포구 서교동 460-24
더벤티 대신증권본사점, 서울 중구 저동1가 114
M카페, 서울 마포구 성산동 133-7
스페셜티커피, 서울 마포구 성산동 250-5
11월, 서울 중랑구 면목동 467-5
파운탱, 서울 송파구 문정동 652-5
커브사이드스텐드로스터리, 서울 강서구 마곡동 771-4
달리는커피 서울천호역점, 서울 강동구 천호동 425-3
바나프레소 대치삼성점, 서울 강남구 대치동 944-25
더벤티 서울대입구역점, 서울 관악구 봉천동 870-13
듀듀커피, 서울 동대문구 휘경동 183-385
골든피스, 서울 용산구 한남동 729-22
빽다방 용산문배점, 서울 용산구 문배동 11-14
하루당, 서울 강북구 미아동 304-25
하늘빛테레스, 서울 강북구 수유동 54-5
공차 롯데청량리점, 서울 동대문구 전농동 591-53
보울비, 서울 서대문구 대현동 56-88
어반스테이캠퍼스커피, 서울 중구 태평로2가 69-20
성북로, 서울 성북구 성북동 254-8
보헤미안박이추커피 KBS점, 서울 영등포구 여의도동 18
이가비, 서울 강서구 방화동 899
차이트 커피스탠드, 서울 관악구 봉천동 1598
프로커피, 서울 성동구 행당동 17-7
탬프커피bdg.379, 서울 영등포구 여의도동 44-35
뉴질랜드스토리, 서울 송파구 송파동 32-1
차차커피코 강동경희대학병원점, 서울 강동구 상일동 149
티타임, 서울 마포구 성산동 370
카페하임, 서울 강동구 길동 343-1
맑음, 서울 용산구 용산동1가 8
카페 리프, 서울 노원구 중계동 154-43
카페lN, 서울 노원구 상계동 1280
동물다방, 서울 광진구 화양동 15-61
트릿, 서울 용산구 한강로3가 98
셜록홈즈 신림2호점, 서울 관악구 신림동 1640-14
티아토, 서울 마포구 연남동 387-25
허브뜨락, 서울 강북구 우이동 296
플릭온커피, 서울 서대문구 창천동 13-111
비티앤마, 서울 중구 초동 70-8
비마이피스, 서울 구로구 구로동 650-4
VIP바 롯데백화점 잠실점, 서울 송파구 잠실동 40-1
할리스 국민대성곡도서관점, 서울 성북구 정릉동 861-1
스타벅스 구로구청점, 서울 구로구 구로동 81-3
율스빈, 서울 송파구 마천동 183-70
카페조이, 서울 강동구 성내동 112
섹터커피 충무로점, 서울 중구 필동2가 4-7
르씨엘, 서울 양천구 신정동 1323
맥코이 성수점, 서울 성동구 성수동2가 273-13
만랩커피 을지로5가점, 서울 중구 을지로5가 275-6
따봉커피호프, 서울 구로구 구로동 738-35
해핌커피, 서울 성북구 하월곡동 88-470
이디야커피 북가좌동점, 서울 서대문구 북가좌동 329-35
이디야커피 상계역사거리점, 서울 노원구 상계동 169-461
62타로카페, 서울 금천구 시흥동 984
태와재, 서울 중구 황학동 754
야카모즈, 서울 강남구 신사동 559-21
사이드테이블, 서울 마포구 연남동 229-32
네오유니버스, 서울 마포구 서교동 408-24
이디야 방화역점, 서울 강서구 방화동 829-5
맘모스 커피, 서울 금천구 가산동 550-9
로우포레스트, 서울 성동구 성수동1가 685-409
블루프린트커피, 서울 강동구 성내동 505-3
XOXO카페, 서울 마포구 서교동 405-16
보니디커피 청담점, 서울 강남구 청담동 133-6
헤르만의정원, 서울 종로구 통인동 46-14
지니카페, 서울 노원구 중계동 107-51
니어블루, 서울 강북구 번동 472-1
미니마이즈, 서울 용산구 이태원동 56-10
병아리콩, 서울 도봉구 쌍문동 449-2
수프레모커피공방, 서울 서초구 서초동 1667-9
메가MGC커피 종합운동장점, 서울 송파구 잠실동 178-1
클럽하우스서울, 서울 용산구 한남동 66-4
히트7080, 서울 영등포구 영등포동5가 6-3
공차 건대스타시티점, 서울 광진구 자양동 227-7
시프스, 서울 노원구 공릉동 504-1
잠시 zamsi, 서울 용산구 청파동1가 154-25
7080오페라 송파라이브카페, 서울 송파구 송파동 15-4
메가MGC커피 용문시장점, 서울 용산구 용문동 28-85
매머드익스프레스 내수동점, 서울 종로구 내수동 73
알에스카페, 서울 강남구 대치동 983
윈썸, 서울 강남구 도곡동 954-3
라베하는날, 서울 강서구 공항동 1373
하우스오브도화, 서울 종로구 가회동 22
플리퍼스 익선점, 서울 종로구 익선동 168-1
오션베이스, 서울 양천구 신정동 1029-15
제주한방약초카페, 서울 은평구 녹번동 118-47
디저트레이, 서울 광진구 화양동 4-20
메가MGC커피 구로거리공원점, 서울 구로구 구로동 110-5
할리스 메리츠봉래타워점, 서울 중구 봉래동1가 57-2
369마실, 서울 성북구 삼선동1가 11-123
쉼터카페, 서울 강남구 수서동 707
한숨, 서울 서대문구 창천동 52-82
더 카페 신방, 서울 성동구 도선동 39-1
8월의오븐, 서울 중랑구 면목동 19-44
크로앙쥬 송파역점, 서울 송파구 송파동 194
커피의향기, 서울 강남구 대치동 626
요크, 서울 강남구 논현동 80-15
까페프렌차이즈, 서울 강북구 수유동 229
소풍카페, 서울 서대문구 북아현동 134-8
스택레이어커피, 서울 동대문구 이문동 264
스타벅스 불광역점, 서울 은평구 대조동 15-9
플레어비 롯데백화점 노원점, 서울 노원구 상계동 713
이룸, 서울 송파구 문정동 377-1
따뜻한하루에, 서울 성북구 안암동5가 89-1
빈스에이, 서울 마포구 연남동 387-18
스타벅스 답십리초교사거리점, 서울 동대문구 답십리동 266-1
데이테이블, 서울 양천구 목동 923-14
광흥창카페, 서울 마포구 창전동 108-3
성북마더센터 맘콩카페, 서울 성북구 동소문동6가 223
카페디피드, 서울 관악구 봉천동 1675-5
공차 전농동사거리점, 서울 동대문구 전농동 295-320
백란, 서울 강북구 우이동 244-3
로얄커피호프, 서울 구로구 구로동 414-25
크레이저커피 외대점, 서울 동대문구 이문동 264-171
우주사주카페, 서울 강북구 미아동 38-11
스타벅스 북가좌DT점, 서울 서대문구 북가좌동 309-16
커피마마 목동청마루점, 서울 양천구 신정동 197-2
메가MGC커피 신정이펜하우스점, 서울 양천구 신정동 1316
맛차차, 서울 성동구 성수동1가 685-450
모리커피 419점, 서울 강북구 수유동 569-63
오리우, 서울 서초구 방배동 894-18
이디야커피 불광중앙점, 서울 은평구 불광동 276-32
카페인24 목동13단지점, 서울 양천구 신정동 327
욜로, 서울 금천구 독산동 1150
홍스커피, 서울 서초구 우면동 712
매머드익스프레스 문래에이스NS타워점, 서울 영등포구 문래동6가 33
베이커리로컬 서래점, 서울 서초구 반포동 88-1
우지커피 문정중앙점, 서울 송파구 문정동 85
황카페, 서울 서대문구 연희동 188-80
컴포즈커피 미아사거리역점, 서울 강북구 미아동 1364
수유리아커피, 서울 강북구 수유동 252-122
카페 델 꼬또네 북촌계동점, 서울 종로구 계동 140-56
싱생송, 서울 송파구 방이동 55-14
엔제리너스 영등포역사점, 서울 영등포구 영등포동 618-501
슬라바, 서울 금천구 가산동 219-5
달리는커피 서울홍제역점, 서울 서대문구 홍제동 315-31
이디야커피 당고개역점, 서울 노원구 상계동 111-491
먼데이피크닉 목동점, 서울 양천구 목동 626-1
꽁세흐, 서울 중랑구 신내동 800
비트, 서울 은평구 역촌동 43-77
홀라, 서울 종로구 당주동 3-1
싱싱프루츠 서울1호점, 서울 관악구 신림동 506-15
블러, 서울 마포구 합정동 198-26
히어링갤러리카페, 서울 광진구 능동 237-11
대즐링, 서울 동대문구 제기동 137-130
카페바이미, 서울 송파구 송파동 47-4
포포 아카이브, 서울 관악구 신림동 94-122
커피랩스로스터리, 서울 영등포구 문래동6가 19
컴스고스, 서울 강남구 신사동 578-1
헤이즐넛버터, 서울 동대문구 회기동 42-80
에리어커피, 서울 송파구 문정동 651-3
카페시그니처, 서울 은평구 갈현동 436-2
라에스키모 동대문점, 서울 중구 을지로6가 17-2
카페모빈, 서울 양천구 신정동 1005-1
힐링커피, 서울 양천구 신정동 296-36
카페컵, 서울 서대문구 연희동 77-9
몽쏘, 서울 마포구 서교동 395-13
블루웨일, 서울 강남구 역삼동 836-7
유나이트커피바, 서울 용산구 청파동2가 90-6
이일삼점, 서울 은평구 응암동 120-39
커피정, 서울 마포구 서교동 459-2
스페이스코르 보문점, 서울 성북구 보문동4가 116
셀프카페UC커피 윌앤비전, 서울 동대문구 전농동 499-10
매머드익스프레스 영등포우체국점, 서울 영등포구 영등포동4가 425-2
수커피 서초점, 서울 서초구 서초동 1302-23
묵묵카페, 서울 동작구 상도동 463-1
윔지하우스, 서울 양천구 목동 405-159
신산커피하우스 NC강서점, 서울 강서구 등촌동 689
따우전드, 서울 광진구 중곡동 259-12
카페일분 개봉점, 서울 구로구 개봉동 497
카페오브와일드플로어, 서울 성동구 성수동2가 331-56
컴포즈커피 홍대서교점, 서울 마포구 서교동 345-17
투썸플레이스 교보타워사거리점, 서울 서초구 서초동 1303-3
볼트커피, 서울 용산구 후암동 55-48
고품격커피공장, 서울 서초구 서초동 1601-6
커피빈 테헤란로하이닉스뒷점, 서울 강남구 대치동 890-60
마실다실 2호점, 서울 양천구 신월동 131-4
셀렉토커피 양평동점, 서울 영등포구 양평동2가 29-23
카페 인 선유, 서울 영등포구 양평동4가 85-3
봉카페, 서울 마포구 서교동 327
그라데이션커피, 서울 성동구 성수동1가 13
텐퍼센트커피 잠실신천점, 서울 송파구 신천동 7
카페씨미트, 서울 광진구 능동 233-7
빽다방 한강성심병원점, 서울 영등포구 영등포동7가 29-105
이디야커피 서소문점, 서울 중구 서소문동 53-2
초이굽당, 서울 동작구 사당동 267-4
크리에이트, 서울 중구 수하동 67
양스커피, 서울 광진구 자양동 236
베이글카페 홍대점, 서울 마포구 서교동 365-14
메가MGC커피 역촌역점, 서울 은평구 대조동 179-48
제네베라 스페이스, 서울 강남구 역삼동 642-6
블럭앤브릭스, 서울 강동구 암사동 414-18
알에비뉴, 서울 강남구 신사동 664-17
솔버 건대1호점, 서울 광진구 화양동 49-11
넥스트에디션 건대2호점, 서울 광진구 자양동 17-5
송화의카페, 서울 강동구 상일동 285-4
스타벅스 한강진역R점, 서울 용산구 한남동 683-139
투썸플레이스 돌곶이역점, 서울 성북구 장위동 65-24
오디네리카페, 서울 동작구 사당동 1034-41
라잇크, 서울 강서구 등촌동 524-1
방있음프로젝트팩토리, 서울 용산구 용산동2가 1-524
토크빈, 서울 광진구 자양동 631-9
르꼬아, 서울 용산구 이촌동 203-17
빽다방 월곡래미안점, 서울 성북구 하월곡동 77-221
타타스베이글, 서울 서대문구 창천동 30-33
쏭타코야끼카페, 서울 광진구 화양동 15-62
메가MGC커피 삼양시장점, 서울 강북구 미아동 867-73
뚠뚠s, 서울 도봉구 창동 651-64
목화씨라운지, 서울 마포구 연남동 245-63
커피정립 삼성중앙점, 서울 강남구 삼성동 51-3
카페얼티밋, 서울 종로구 계동 100-1
풍미커피, 서울 양천구 목동 909-4
킹스빈커피 가산한신IT점, 서울 금천구 가산동 60-18
디저트39 구로헤리움점, 서울 구로구 고척동 76-14
마이요거트립 송파방이점, 서울 송파구 방이동 50-3
엘리스인프룻랜드, 서울 용산구 이태원동 243-42
라쎄리즈, 서울 강서구 마곡동 799-7
이디야커피 개화산점, 서울 강서구 방화동 849
블랙오래, 서울 중구 순화동 66
나팔꽃, 서울 마포구 신수동 345-6
다인음악다방, 서울 성북구 하월곡동 90-117
골드, 서울 서초구 서초동 1558-7
카페차오, 서울 성동구 홍익동 215
어썸머, 서울 강남구 개포동 172
큐베리, 서울 중랑구 망우동 209-27
명커피숍, 서울 관악구 신림동 543-22
스타벅스 삼성역섬유센터R점, 서울 강남구 대치동 944-31
그리네, 서울 광진구 화양동 5-89
사직단커피집, 서울 종로구 사직동 9
카페브이더블유, 서울 마포구 서교동 409-9
꿀스커피 가산점, 서울 금천구 가산동 345-29
아이러브커피, 서울 서초구 서초동 1675-11
카페모래내, 서울 마포구 중동 393
다락방사주카페, 서울 동대문구 휘경동 320-5
기대치 신세계영등포점, 서울 영등포구 영등포동4가 434-5
화난문어씨, 서울 종로구 이화동 193-1
29커피, 서울 강북구 미아동 103-75
웨더커뮤니케이션즈, 서울 강남구 논현동 48-2
일로커피 창조관, 서울 서대문구 북아현동 190-1
스윗번트, 서울 성동구 성수동2가 333-123
빽다방 충무로필동점, 서울 중구 필동3가 43-3
우지커피 석촌역점, 서울 송파구 송파동 17-3
커피베이 강동암사역점, 서울 강동구 암사동 515-24
메가MGC커피 한강성심병원점, 서울 영등포구 영등포동2가 94-23
올데이사운드바, 서울 강남구 신사동 535-7
에이설, 서울 강남구 대치동 991-8
월령의힐링톡톡, 서울 구로구 구로동 811
데이로우, 서울 용산구 한남동 743-3
피어, 서울 마포구 서교동 327-46
커피랑차랑, 서울 강남구 삼성동 111-44
레즐리컵, 서울 강서구 염창동 306
도란도란, 서울 마포구 서교동 328-39
핼라방방 석관점, 서울 성북구 석관동 61-16
성균관꽃&요커(yo.kr) 성균관대점, 서울 종로구 명륜2가 198-1
쥬씨 중곡사거리점, 서울 광진구 중곡동 58-27
헤이그릭, 서울 송파구 문정동 1
투썸플레이스 까치산역점, 서울 강서구 화곡동 343-52
프랭크커핀바 잠실점, 서울 송파구 송파동 49-5
황홀경, 서울 관악구 봉천동 1603-20
초록북카페, 서울 마포구 망원동 436-1
빽다방 공존점, 서울 구로구 구로동 3-25
스타벅스 신사역점, 서울 강남구 논현동 1-4
고미푸딩, 서울 마포구 망원동 394-2
어반딜리버리, 서울 관악구 봉천동 1574-1
스튜디오씨에이치, 서울 송파구 가락동 109
더치프레소, 서울 관악구 신림동 산 56-1
유캔두잇 서울개봉점, 서울 구로구 개봉동 363-8
산토스, 서울 구로구 구로동 801-56
비하인드미, 서울 동대문구 회기동 60-93
아이에떼커피 남대문시장점, 서울 중구 남대문로4가 18-3
퐁치커피익스프레스공릉점, 서울 노원구 공릉동 592-7
티소트카페, 서울 강서구 화곡동 341-92
카페손, 서울 용산구 한강로2가 74-2
이디야커피 천호현대점, 서울 강동구 천호동 432-5
퍼스트카페, 서울 송파구 잠실동 249
메가MGC커피 목동14단지점, 서울 양천구 신정동 282-2
쏘스윗 건대점, 서울 광진구 화양동 3-63
헬카페뮤직, 서울 중구 주교동 227-1
블랙라인커피 대학로점, 서울 종로구 동숭동 130-27
아이갓에브리씽 용산점, 서울 용산구 서빙고동 199-3
탐앤탐스 영등포시장역점, 서울 영등포구 영등포동5가 43
국뽕커피 본점, 서울 동작구 사당동 236-16
래뮤, 서울 성동구 성수동1가 16-19
티히커피, 서울 성북구 하월곡동 70-150
카페로뎀, 서울 성북구 안암동3가 130-9
카페드쉼, 서울 동대문구 용두동 39-103
텐스토리 노원지사, 서울 노원구 하계동 270
고원이가 커피볶는집, 서울 양천구 목동 405-221
계란빵야디저트카페, 서울 중랑구 상봉동 91-4
호랑이두목타코야끼&커피, 서울 강동구 천호동 362-56
메가MGC커피 응암이마트점, 서울 은평구 응암동 111-1
봉명동내커피, 서울 성북구 종암동 82-43
달달한오후, 서울 도봉구 창동 635-42
오캐드, 서울 강서구 등촌동 645-9
알버트파크, 서울 마포구 연남동 563-10
갓사주, 서울 용산구 원효로2가 23-4
협동플랫폼카페이웃, 서울 서대문구 홍은동 403-8
마왕커피 홈앤쇼핑점, 서울 강서구 마곡동 798
고래다방 - 오늘을이야기 합니다, 서울 양천구 목동 553-16
오트뤼, 서울 서대문구 연희동 188-80
베오이, 서울 서초구 방배동 464-29
뉴웨이브 커피, 서울 양천구 신정동 127-18
데일리디카페, 서울 서초구 서초동 1698-6
비탈에선커피, 서울 은평구 응암동 760
여왕커피, 서울 강남구 논현동 156-1
카페연, 서울 금천구 시흥동 793
베통 역삼, 서울 강남구 역삼동 706-19
알프레스코, 서울 송파구 삼전동 111-12
벅시, 서울 중랑구 면목동 611-5
컴포즈커피 곰달래사거리점, 서울 양천구 신월동 228-1
컴포즈커피 성수카페거리점, 서울 성동구 성수동2가 328-15
머스트컴, 서울 성동구 성수동1가 656-1229
칼리프하우스 문래점, 서울 영등포구 문래동2가 60-4
오동숲 꽁카페, 서울 성북구 하월곡동 산 2-41
카페바이캣, 서울 강남구 개포동 1172
하우스 핀즈, 서울 성동구 성수동1가 656-81
블랙스미스, 서울 광진구 자양동 48-37
라이브쌩음악, 서울 강남구 대치동 943-8
스톤앤카페 종암점, 서울 성북구 종암동 10-134
버터온, 서울 강동구 천호동 314-36
구움블루스, 서울 양천구 목동 405-241
카페마을, 서울 양천구 목동 536-11
이디야커피 숙대입구역점, 서울 용산구 갈월동 87
티타임커피 아이파크위브목동점, 서울 양천구 신월동 1076
더벤티 대치점, 서울 강남구 대치동 908
폴바셋 노원점, 서울 노원구 상계동 713
리치몽브레 사당점, 서울 동작구 사당동 150-26
낭만타로황사부, 서울 강서구 마곡동 798-14
더리터 구의역점, 서울 광진구 구의동 252-44
콤마슬라임카페, 서울 강서구 화곡동 1165-1
매머드익스프레스 가산반도아이비밸리점, 서울 금천구 가산동 470-1
카페인 금나래점, 서울 금천구 독산동 1148
커피박스, 서울 강남구 도곡동 943-2
달리는커피 서울논현점, 서울 강남구 논현동 158-32
카페고릴라 우면동점, 서울 서초구 우면동 70
스타벅스 교대법원점, 서울 서초구 서초동 1699-3
카페소림, 서울 성동구 성수동2가 323
컴포즈커피 어린이대공원후문점, 서울 광진구 구의동 76-1
과일에반하다 프루타 은평점, 서울 은평구 역촌동 22-2
3샘파트너스, 서울 성동구 상왕십리동 94
시시때때로, 서울 광진구 군자동 466-3
에쏘하우스, 서울 서대문구 연희동 165-14
루나예나마카롱, 서울 강동구 둔촌동 70-26
카페트리, 서울 용산구 동빙고동 9-6
카페이에르, 서울 구로구 구로동 107-1
돈세이돈, 서울 도봉구 창동 307-2
하이 스마일 헬로우, 서울 강북구 수유동 193-15
금경에프앤비모나티 동양미래대점, 서울 구로구 고척동 62-160
팔공티 전주만성점, 서울 강서구 등촌동 696
레드머그, 서울 송파구 송파동 132-16
백억커피 발산점, 서울 강서구 내발산동 657
파티세리소나 2호점, 서울 양천구 신정동 89-16
홀스 영등포점, 서울 영등포구 영등포동3가 3-7
더피올라플라워 동대문점, 서울 중구 장충동1가 24
Q커피향, 서울 서초구 방배동 478-17
컴포즈커피 노원상계점, 서울 노원구 중계동 143
커피데이즈, 서울 송파구 신천동 27
자연도소금빵 도산점, 서울 강남구 신사동 646-20
브라운체리, 서울 서대문구 남가좌동 191-23
커피브라더 발산점, 서울 강서구 내발산동 671-5
플로, 서울 은평구 녹번동 82-41
WYCN, 서울 마포구 연남동 384-11
아방갤러리 카페 디큐브시티점, 서울 구로구 신도림동 692
매머드익스프레스 학동역사거리점, 서울 강남구 논현동 37-3
청년북카페 씨알, 서울 마포구 서교동 448-1
비슬로, 서울 강남구 개포동 1184-16
써니하우스, 서울 용산구 용산동2가 33-15
루트205, 서울 강서구 내발산동 755-4
메가MGC커피 서초우면점, 서울 서초구 우면동 721-1
바꿈카페, 서울 도봉구 도봉동 636-22
카페블라썸, 서울 송파구 오금동 155-8
커피에 진심을 담다, 서울 서초구 서초동 1445-4
포타커피, 서울 강남구 삼성동 150-19
커피앤, 서울 영등포구 도림동 1-15
상도가든, 서울 동작구 상도동 904
미백도, 서울 강남구 대치동 921-5
J&J라이브7080, 서울 영등포구 당산동1가 40-26
크롭커피, 서울 성동구 성수동2가 309-148
도봉산커피, 서울 도봉구 도봉동 282-316
카페아모제 롯데잠실점, 서울 송파구 잠실동 40-1
루이14세, 서울 종로구 구기동 149-15
위카페 아임2030등촌역점, 서울 강서구 등촌동 648-5
세라 에 미르틸리, 서울 강동구 명일동 305-3
카페루치아, 서울 강남구 신사동 565-20
신디테라스, 서울 성동구 금호동3가 1304
킹스커피 대학로점, 서울 종로구 명륜2가 188
파스쿠찌 국방컨벤션점, 서울 용산구 용산동3가 1-106
벨레투로스터리, 서울 강서구 마곡동 771-3
스타벅스 당산역사거리점, 서울 영등포구 당산동5가 16-7
메가MGC커피 신정푸른마을점, 서울 양천구 신정동 773-5
쓰리버즈 IFC점, 서울 영등포구 여의도동 23
캐롤, 서울 동작구 사당동 318-88
현주플라워카페, 서울 광진구 자양동 553-476
크레모나, 서울 동작구 노량진동 125-14
르미카페, 서울 노원구 공릉동 575-28
선호하다, 서울 도봉구 쌍문동 257-2
소마 드로잉카페 명동점, 서울 중구 을지로2가 199-58
더벤티 월곡사거리점, 서울 성북구 하월곡동 79-117
잼툰, 서울 동작구 노량진동 97-1
티닥네추럴카페, 서울 종로구 관훈동 196-10
필링, 서울 영등포구 당산동3가 318
카페다온, 서울 서대문구 남가좌동 188-24
스타팡팡, 서울 강서구 화곡동 98-49
플랫727, 서울 강서구 마곡동 760-2
오성원두커피전문점, 서울 서대문구 남가좌동 387
코티커피 강남효성점, 서울 강남구 역삼동 825-24
카페크렘므, 서울 영등포구 양평동5가 88-6
더카페868, 서울 강남구 역삼동 825-6
블루문, 서울 중구 쌍림동 282-1
카페미뇽 잠실역점, 서울 송파구 신천동 8
몽클락, 서울 성북구 하월곡동 81-48
브래디스커피, 서울 마포구 연남동 244-1
메가MGC커피 숭실대입구역점, 서울 동작구 상도동 489-1
자밀라플라워앤까페, 서울 강남구 역삼동 826-1
스타벅스 숭례문점, 서울 중구 남대문로5가 6-3
춘하, 서울 강북구 미아동 317-11
커피아미코, 서울 노원구 월계동 12
바나프레소 청진타워8점, 서울 종로구 청진동 128
카페드림 홍익대학교인문사회관점, 서울 마포구 상수동 72-1
느티나무 도서관점, 서울 관악구 신림동 산 56-1
스위피, 서울 성동구 옥수동 220-1
요거트퍼플 여의도점, 서울 영등포구 여의도동 41-1
울프소셜클럽, 서울 용산구 한남동 795-2
빙고, 서울 용산구 용산동5가 2-30
삼층로비, 서울 용산구 한강로3가 40-642
로스터리카페86, 서울 용산구 보광동 8-6
디이스큐브, 서울 서초구 반포동 739-24
스무디킹 롯데월드몰점, 서울 송파구 신천동 29
하늘카페, 서울 강북구 수유동 394-11
투썸플레이스 서초역점, 서울 서초구 서초동 1553-5
영등포 카페드람브르, 서울 영등포구 영등포동3가 11-3
맛카롱, 서울 관악구 신림동 1420-24
타미하우스 가산디지털단지역점, 서울 금천구 가산동 60-15
카페멍스 노원점, 서울 노원구 상계동 354-11
JC커피, 서울 강남구 역삼동 751-13
수유 홀린이, 서울 강북구 수유동 229-33
투썸플레이스 석촌고분역점, 서울 송파구 삼전동 180-16
밀짚모자 해적단TCG, 서울 서대문구 창천동 53-3
러비케이크, 서울 동작구 사당동 1033-17
베러커피, 서울 은평구 응암동 578-34
투썸플레이스 장안동사거리점, 서울 동대문구 장안동 307-6
숲속마을카페, 서울 도봉구 방학동 612-14
무인점방lobby, 서울 서대문구 북가좌동 293-12
빙타임, 서울 금천구 가산동 145-20
보스톤커피 보라매역점, 서울 동작구 대방동 400-1
커피나인 고덕비즈밸리, 서울 강동구 고덕동 343-2
회의실, 서울 용산구 용산동2가 1-492
성북동과일카페138, 서울 성북구 동선동4가 138
카페밤비, 서울 은평구 진관동 152-4
도그커피, 서울 강북구 번동 445-52
에스프레소진, 서울 양천구 목동 515-23
카페비비, 서울 종로구 구기동 67-19
바나프레소 합정역점, 서울 마포구 서교동 494
티더커피하우스, 서울 송파구 장지동 881-5
동승리테일, 서울 종로구 종로6가 262-1
루루아카페, 서울 서초구 반포동 706-8
컴포즈커피 세종대학교점, 서울 광진구 군자동 98-38
버터클라우드, 서울 성북구 돈암동 2-1
디저트39 거여역점, 서울 송파구 거여동 36-4
고드니(godny), 서울 강서구 마곡동 760-2
브레이크타임, 서울 성동구 성수동2가 281-3
폴바셋 고대구로병원점, 서울 구로구 구로동 80
나무, 서울 종로구 소격동 14-5
누와, 서울 성동구 성수동2가 335-24
수현사주카페, 서울 은평구 증산동 168-3
을지다방, 서울 중구 을지로3가 315-3
컴포즈커피 화곡8동점, 서울 강서구 화곡동 159-41
행복플러스카페, 서울 동작구 노량진동 57-1
여유, 서울 금천구 가산동 327-33
적당 타임스퀘어점, 서울 영등포구 영등포동4가 442
잼아웃커피, 서울 성북구 석관동 261-76
스포트라이트, 서울 강남구 논현동 139-1
CAFE 311, 서울 양천구 신월동 1075
스타벅스 구로디지털타워점, 서울 구로구 구로동 222-7
리턴켓츠웰, 서울 서초구 서초동 1549-5
그린다방, 서울 구로구 개봉동 465-10
아릇간, 서울 성북구 상월곡동 24-40
이노컴퍼니, 서울 강동구 성내동 292-8
